Datum,Uhrzeit,Unternehmen,Kurs_EUR
2025-07-21,15:30:00,Allianz_SE,342.3999938964844
2025-07-21,16:00:00,Allianz_SE,342.70001220703125
2025-07-21,16:30:00,Allianz_SE,342.79998779296875
2025-07-21,17:00:00,Allianz_SE,343.29998779296875
2025-07-22,09:00:00,Allianz_SE,343.1000061035156
2025-07-22,09:30:00,Allianz_SE,342.1000061035156
2025-07-22,10:00:00,Allianz_SE,343.0
2025-07-22,10:30:00,Allianz_SE,343.20001220703125
2025-07-22,11:00:00,Allianz_SE,343.5
2025-07-22,11:30:00,Allianz_SE,342.79998779296875
2025-07-22,12:00:00,Allianz_SE,342.70001220703125
2025-07-22,12:30:00,Allianz_SE,342.54998779296875
2025-07-22,13:00:00,Allianz_SE,342.20001220703125
2025-07-22,13:30:00,Allianz_SE,342.1000061035156
2025-07-22,14:00:00,Allianz_SE,341.0
2025-07-22,14:30:00,Allianz_SE,340.70001220703125
2025-07-22,15:00:00,Allianz_SE,341.1000061035156
2025-07-22,15:30:00,Allianz_SE,339.70001220703125
2025-07-22,16:00:00,Allianz_SE,341.29998779296875
2025-07-22,16:30:00,Allianz_SE,340.20001220703125
2025-07-22,17:00:00,Allianz_SE,340.20001220703125
2025-07-23,09:00:00,Allianz_SE,346.1000061035156
2025-07-23,09:30:00,Allianz_SE,345.29998779296875
2025-07-23,10:00:00,Allianz_SE,345.8999938964844
2025-07-23,10:30:00,Allianz_SE,346.70001220703125
2025-07-23,11:00:00,Allianz_SE,346.20001220703125
2025-07-23,11:30:00,Allianz_SE,346.3999938964844
2025-07-23,12:00:00,Allianz_SE,345.1000061035156
2025-07-23,12:30:00,Allianz_SE,344.20001220703125
2025-07-23,13:00:00,Allianz_SE,344.29998779296875
2025-07-23,13:30:00,Allianz_SE,345.0
2025-07-23,14:00:00,Allianz_SE,344.8999938964844
2025-07-23,14:30:00,Allianz_SE,345.5
2025-07-23,15:00:00,Allianz_SE,344.5
2025-07-23,15:30:00,Allianz_SE,344.79998779296875
2025-07-23,16:00:00,Allianz_SE,345.29998779296875
2025-07-23,16:30:00,Allianz_SE,345.8999938964844
2025-07-23,17:00:00,Allianz_SE,344.79998779296875
2025-07-25,09:00:00,Allianz_SE,342.0
2025-07-25,09:30:00,Allianz_SE,342.0
2025-07-25,10:00:00,Allianz_SE,341.20001220703125
2025-07-25,10:30:00,Allianz_SE,341.1000061035156
2025-07-25,11:00:00,Allianz_SE,341.79998779296875
2025-07-25,11:30:00,Allianz_SE,341.20001220703125
2025-07-25,12:00:00,Allianz_SE,341.20001220703125
2025-07-25,12:30:00,Allianz_SE,340.6000061035156
2025-07-25,13:00:00,Allianz_SE,341.1000061035156
2025-07-25,13:30:00,Allianz_SE,341.1000061035156
2025-07-25,14:00:00,Allianz_SE,341.6000061035156
